Simulation Mode;Density target;currentPosition X;currentPosition Y;currentPosition Z;currentPosition Type;nextPosition X;nextPosition Y;nextPosition Z;nextPosition Type;targetPosition X;targetPosition Y;targetPosition Z;targetPosition Type;Heading angle;flightState;localCollisions;currentPathStep;currentStepPercentage;flightSpeed;aircraftDiameter;Flight count;Far collisions;Medium collisions;Close collisions;Spot on collisions;;;;
Polygons;50;509.631;55.33939;1262.777;NoFlyEvasion;527.1765;54.4;1300.063;NoFlyEvasion;515.3674;0;2275.511;Ground;64.81;Transit;2 2 1 1;7;68;13;0.19;646;1999;866;202;25;0.677242;0.6306014;553;557
Polygons;50;509.8994;55.32502;1263.348;NoFlyEvasion;527.1765;54.4;1300.063;NoFlyEvasion;2443.795;0;1657.031;Ground;64.81;Transit;2 1 1 1;4;69;7;1.16;646;1999;866;202;26;0.677242;0.6306014;557;553
Polygons;50;1640.643;89.1;-1394.916;Air;1894.831;89.1;-1614.824;Air;1894.831;0;-1614.824;Ground;220.86;Transit;1 1 1 1;1;93;8;2.7;737;2316;992;238;27;2.088015;2.081243;486;584
Polygons;50;1638.602;89.5;-1394.83;Air;1940.922;89.5;-1672.667;Air;1940.922;0;-1672.667;Ground;222.58;Transit;1 1 1 1;1;91;12;1.47;737;2316;992;238;28;2.088015;2.081243;584;486
Polygons;50;-1283.469;113.5987;-519.212;NoFlyEvasion;-1383.346;111.4;-591.7775;NoFlyEvasion;-2492.552;0;-224.4712;Ground;323.99;Transit;1 1 1 1;12;9;6;1.57;761;2399;1021;254;29;2.201461;2.082962;547;709
Polygons;50;-1282.116;114.8416;-518.2295;NoFlyEvasion;-1383.346;111.9;-591.7775;NoFlyEvasion;-1123.254;0;-2361.801;Ground;323.98;Transit;1 1 1 1;4;0;25;2.83;761;2399;1021;254;30;2.201461;2.082962;709;547
Polygons;50;-1523.584;65.9547;-1186.483;NoFlyEvasion;-1550.081;64;-1104.933;NoFlyEvasion;-817.4072;0;259.8252;Ground;108;Transit;1 0 1 1;6;38;2;0.44;768;2420;1027;257;31;0.905551;0.8211477;490;739
Polygons;50;-1523.33;65.97342;-1187.264;NoFlyEvasion;-1550.081;64;-1104.933;NoFlyEvasion;-1042.978;0;2158.605;Ground;108;Transit;1 1 1 1;5;37;18;1.37;768;2420;1027;257;32;0.905551;0.8211477;739;490
Polygons;50;-1444.152;69.86123;-1337.002;NoFlyEvasion;-1506.703;67.2;-1238.436;NoFlyEvasion;-1031.196;0;38.68018;Ground;122.39;Transit;1 0 1 1;4;15;3;2.27;823;2645;1121;285;33;2.562511;2.5603;718;766
Polygons;50;-1442.78;69.91958;-1339.163;NoFlyEvasion;-1506.703;67.2;-1238.436;NoFlyEvasion;-1760.591;0;201.4737;Ground;122.39;Transit;1 1 1 1;8;8;17;2.86;823;2645;1121;285;34;2.562511;2.5603;766;718
